ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,Penampakan Rumah di Lebak yang Rusak Akibat Gempa Banten,126.0,100.0,557.0,61.8888888888888,35.3117408906882
facebook / cpc,Komentar : Sultan Brunei Laporkan Kasus Pencemaran Nama Baik ke Polda Metro,467.0,50.0,521.0,28.9444444444444,53.6157407407407
facebook / cpc,"Sys NS Meninggal Dunia, Anak Ungkapkan Kesedihan",153.0,50.0,494.0,13.7222222222222,7.17467248908297
facebook / cpc,Goyangan Gempa Terasa Kuat di Perkantoran,395.0,23.4200743494423,440.0,1.635687732342,99.7579617834394
facebook / cpc,Aroma Latin di Old Trafford,54.0,100.0,431.0,47.8888888888888,26.5859564164648
facebook / cpc,"Potret Kepanikan Warga Jakarta saat Gempa 6,4 SR",90.0,100.0,422.0,46.8888888888888,23.6949602122015
facebook / cpc,Anies Resmikan Pembangunan Rumah DP 0 Pertama di Pondok Kelapa,341.0,74.2857142857142,413.0,1.18,260.444444444444
facebook / cpc,"Penjelasan BMKG Soal Gempa Banten, Dimutakhirkan Jadi 6,1 SR",332.0,31.25,413.0,2.86805555555555,96.466275659824
facebook / cpc,"Usai Dibekuk Swansea, Liverpool Juga Dihajar di Dunia Maya",99.0,50.0,404.0,22.4444444444444,23.3519061583577
facebook / cpc,2 Pelajar Semarang Ini Masih Sekolah Usai Bunuh Driver Taksi Online,341.0,100.0,395.0,7.31481481481481,158.905579399141
facebook / cpc,Komentar : 2 Pelajar di Yogya Lempar Batu ke Mobil hingga Tewaskan Pengemudinya,377.0,100.0,395.0,21.9444444444444,46.8809523809523
facebook / cpc,"Komentar : Antar 'Tuyul', 7 Pengemudi Grab Dibekuk",377.0,100.0,386.0,14.2962962962962,149.706349206349
facebook / cpc,Mereka Menolak Jadi Saksi Meringankan untuk dr Bimanesh-Fredrich,296.0,83.3333333333333,377.0,3.49074074074074,236.519417475728
